source,prepared_image,caption
training/Fuukashitamedal vpet vb.png,datasets/vpet_lora/train/00205_Fuukashitamedal vpet vb.png,"vpet_style, vpet_left_pose, digimon, fuukashitamedal, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gabumon black vpet vb.png,datasets/vpet_lora/train/00206_Gabumon black vpet vb.png,"vpet_style, vpet_left_pose, digimon, gabumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gabumon vpet vb.png,datasets/vpet_lora/train/00207_Gabumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gabumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gaioumon vpet vb.png,datasets/vpet_lora/train/00208_Gaioumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gaioumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Galgomon vpet vb.png,datasets/vpet_lora/train/00209_Galgomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, galgomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gammamon vpet vb.png,datasets/vpet_lora/train/00210_Gammamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gammamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gaogamon vpet vb.png,datasets/vpet_lora/train/00211_Gaogamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gaogamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gaomon vpet vb.png,datasets/vpet_lora/train/00212_Gaomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gaomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Garudamon vpet vb.png,datasets/vpet_lora/train/00213_Garudamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, garudamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Garummon vpet vb.png,datasets/vpet_lora/train/00214_Garummon vpet vb.png,"vpet_style, vpet_left_pose, digimon, garummon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Garurumetal vpet vb.png,datasets/vpet_lora/train/00215_Garurumetal vpet vb.png,"vpet_style, vpet_left_pose, digimon, garurumetal, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Garurumon black vpet vb.png,datasets/vpet_lora/train/00216_Garurumon black vpet vb.png,"vpet_style, vpet_left_pose, digimon, garurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Garurumon vpet vb.png,datasets/vpet_lora/train/00217_Garurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, garurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gazimon vpet vb.png,datasets/vpet_lora/train/00218_Gazimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gazimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gemmon vpet alysion.png,datasets/vpet_lora/train/00219_Gemmon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, gemmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Geogreymon vpet vb.png,datasets/vpet_lora/train/00220_Geogreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, geogreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gesomon vpet vb.png,datasets/vpet_lora/train/00221_Gesomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gesomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ghilliedumon vpet vb.png,datasets/vpet_lora/train/00222_Ghilliedumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ghilliedumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ghostmon vpet vb.png,datasets/vpet_lora/train/00223_Ghostmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ghostmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gigadramon vpet vb.png,datasets/vpet_lora/train/00224_Gigadramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gigadramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gigaseadramon vpet vb.png,datasets/vpet_lora/train/00225_Gigaseadramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gigaseadramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gigasmon vpet vb.png,datasets/vpet_lora/train/00226_Gigasmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gigasmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gigimon vpet vb.png,datasets/vpet_lora/train/00227_Gigimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gigimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ginryumon vpet vb.png,datasets/vpet_lora/train/00228_Ginryumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ginryumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Giromon vpet vb.png,datasets/vpet_lora/train/00229_Giromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, giromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gizamon vpet vb.png,datasets/vpet_lora/train/00230_Gizamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gizamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gogmamon vpet vb.png,datasets/vpet_lora/train/00231_Gogmamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gogmamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gokimon vpet vb.png,datasets/vpet_lora/train/00232_Gokimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gokimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Goldvdramon vpet vb.png,datasets/vpet_lora/train/00233_Goldvdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, goldvdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Golemon vpet vb.png,datasets/vpet_lora/train/00234_Golemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, golemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gorimon vpet vb.png,datasets/vpet_lora/train/00235_Gorimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gorimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Goromon vpet vb.png,datasets/vpet_lora/train/00236_Goromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, goromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gottsumon vpet vb.png,datasets/vpet_lora/train/00237_Gottsumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gottsumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gracenovamon vpet vb.png,datasets/vpet_lora/train/00238_Gracenovamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gracenovamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grademon vpet vb.png,datasets/vpet_lora/train/00239_Grademon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grademon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Granddracumon vpet vb.png,datasets/vpet_lora/train/00240_Granddracumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, granddracumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grandiskuwagamon vpet vb.png,datasets/vpet_lora/train/00241_Grandiskuwagamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grandiskuwagamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grandlocomon vpet vb.png,datasets/vpet_lora/train/00242_Grandlocomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grandlocomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grankuwagamon vpet vb.png,datasets/vpet_lora/train/00243_Grankuwagamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grankuwagamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grappuleomon vpet vb.png,datasets/vpet_lora/train/00244_Grappuleomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grappuleomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Greymon blue vpet vb.png,datasets/vpet_lora/train/00245_Greymon blue vpet vb.png,"vpet_style, vpet_left_pose, digimon, greymon blue, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Greymon vpet vb.png,datasets/vpet_lora/train/00246_Greymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, greymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Greywars vpet vb.png,datasets/vpet_lora/train/00247_Greywars vpet vb.png,"vpet_style, vpet_left_pose, digimon, greywars, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Griffomon vpet vb.png,datasets/vpet_lora/train/00248_Griffomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, griffomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Grottemon vpet vb.png,datasets/vpet_lora/train/00249_Grottemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, grottemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Groundramon vpet vb.png,datasets/vpet_lora/train/00250_Groundramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, groundramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Growmon orange vpet vb.png,datasets/vpet_lora/train/00251_Growmon orange vpet vb.png,"vpet_style, vpet_left_pose, digimon, growmon orange, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Growmon vpet vb.png,datasets/vpet_lora/train/00252_Growmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, growmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gryzmon vpet vb.png,datasets/vpet_lora/train/00253_Gryzmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gryzmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Guilmon vpet vb.png,datasets/vpet_lora/train/00254_Guilmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, guilmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gulfmon raid vpet vb.png,datasets/vpet_lora/train/00255_Gulfmon raid vpet vb.png,"vpet_style, vpet_left_pose, digimon, gulfmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gulusgammamon vpet vb.png,datasets/vpet_lora/train/00256_Gulusgammamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gulusgammamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gumdramon vpet vb.png,datasets/vpet_lora/train/00257_Gumdramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gumdramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gummymon vpet vb.png,datasets/vpet_lora/train/00258_Gummymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gummymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gundramon vpet vb.png,datasets/vpet_lora/train/00259_Gundramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gundramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gurimon vpet vb.png,datasets/vpet_lora/train/00260_Gurimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gurimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gururumon vpet alysion.png,datasets/vpet_lora/train/00261_Gururumon vpet alysion.png,"vpet_style, vpet_left_pose, digimon, gururumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gusokumon vpet vb.png,datasets/vpet_lora/train/00262_Gusokumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gusokumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Gyukimon vpet vb.png,datasets/vpet_lora/train/00263_Gyukimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, gyukimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hackmon vpet vb.png,datasets/vpet_lora/train/00264_Hackmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hackmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hagurumon vpet vb.png,datasets/vpet_lora/train/00265_Hagurumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hagurumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hangyomon vpet vb.png,datasets/vpet_lora/train/00266_Hangyomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hangyomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Harpymon vpet vb.png,datasets/vpet_lora/train/00267_Harpymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, harpymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hawkmon vpet vb.png,datasets/vpet_lora/train/00268_Hawkmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hawkmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Heavyleomon vpet vb.png,datasets/vpet_lora/train/00269_Heavyleomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, heavyleomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Helloogarmon vpet vb.png,datasets/vpet_lora/train/00270_Helloogarmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, helloogarmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Heraklekabuterimon vpet vb.png,datasets/vpet_lora/train/00271_Heraklekabuterimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, heraklekabuterimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Herissmon vpet vb.png,datasets/vpet_lora/train/00272_Herissmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, herissmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hexeblaumon vpet vb.png,datasets/vpet_lora/train/00273_Hexeblaumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hexeblaumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hiandromon vpet vb.png,datasets/vpet_lora/train/00274_Hiandromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hiandromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hicommandramon vpet vb.png,datasets/vpet_lora/train/00275_Hicommandramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hicommandramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hippogriffomon vpet vb.png,datasets/vpet_lora/train/00276_Hippogriffomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hippogriffomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hisyaryumon vpet vb.png,datasets/vpet_lora/train/00277_Hisyaryumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hisyaryumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hiyarimon vpet vb.png,datasets/vpet_lora/train/00278_Hiyarimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hiyarimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Holsmon vpet vb.png,datasets/vpet_lora/train/00279_Holsmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, holsmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Holyangemon vpet vb.png,datasets/vpet_lora/train/00280_Holyangemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, holyangemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Holydramon vpet vb.png,datasets/vpet_lora/train/00281_Holydramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, holydramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hopmon vpet vb.png,datasets/vpet_lora/train/00282_Hopmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hopmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hououmon vpet vb.png,datasets/vpet_lora/train/00283_Hououmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hououmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hoverespimon vpet vb.png,datasets/vpet_lora/train/00284_Hoverespimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hoverespimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Huankunmon vpet vb.png,datasets/vpet_lora/train/00285_Huankunmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, huankunmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hudiemon vpet vb.png,datasets/vpet_lora/train/00286_Hudiemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hudiemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hydramon vpet vb.png,datasets/vpet_lora/train/00287_Hydramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hydramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Hyougamon vpet vb.png,datasets/vpet_lora/train/00288_Hyougamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, hyougamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Icedevimon vpet vb.png,datasets/vpet_lora/train/00289_Icedevimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, icedevimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Icemon vpet vb.png,datasets/vpet_lora/train/00290_Icemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, icemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ikkakumon vpet vb.png,datasets/vpet_lora/train/00291_Ikkakumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ikkakumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Imperialdramon dragon vpet vb.png,datasets/vpet_lora/train/00292_Imperialdramon dragon vpet vb.png,"vpet_style, vpet_left_pose, digimon, imperialdramon dragon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Imperialdramon fighter vpet vb.png,datasets/vpet_lora/train/00293_Imperialdramon fighter vpet vb.png,"vpet_style, vpet_left_pose, digimon, imperialdramon fighter, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Imperialdramon paladin vpet vb.png,datasets/vpet_lora/train/00294_Imperialdramon paladin vpet vb.png,"vpet_style, vpet_left_pose, digimon, imperialdramon paladin, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Impmon vpet vb.png,datasets/vpet_lora/train/00295_Impmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, impmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Indaramon vpet vb.png,datasets/vpet_lora/train/00296_Indaramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, indaramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jazamon vpet vb.png,datasets/vpet_lora/train/00297_Jazamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jazamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jazarichmon vpet vb.png,datasets/vpet_lora/train/00298_Jazarichmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jazarichmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jellymon vpet vb.png,datasets/vpet_lora/train/00299_Jellymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jellymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jesmon vpet vb.png,datasets/vpet_lora/train/00300_Jesmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jesmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jetsilphymon vpet vb.png,datasets/vpet_lora/train/00301_Jetsilphymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jetsilphymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jewelbeemon vpet vb.png,datasets/vpet_lora/train/00302_Jewelbeemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jewelbeemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jokermon vpet vb.png,datasets/vpet_lora/train/00303_Jokermon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jokermon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Justimon accel vpet vb.png,datasets/vpet_lora/train/00304_Justimon accel vpet vb.png,"vpet_style, vpet_left_pose, digimon, justimon accel, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Justimon blitz vpet vb.png,datasets/vpet_lora/train/00305_Justimon blitz vpet vb.png,"vpet_style, vpet_left_pose, digimon, justimon blitz, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Justimon critical vpet vb.png,datasets/vpet_lora/train/00306_Justimon critical vpet vb.png,"vpet_style, vpet_left_pose, digimon, justimon critical, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jyagamon vpet vb.png,datasets/vpet_lora/train/00307_Jyagamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jyagamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jyarimon vpet vb.png,datasets/vpet_lora/train/00308_Jyarimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, jyarimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Jyureimon raid boss vpet vb.png,datasets/vpet_lora/train/00309_Jyureimon raid boss vpet vb.png,"vpet_style, vpet_left_pose, digimon, jyureimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kabuterimon vpet vb.png,datasets/vpet_lora/train/00310_Kabuterimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kabuterimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kaisergreymon vpet vb.png,datasets/vpet_lora/train/00311_Kaisergreymon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kaisergreymon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kaiserleomon vpet vb.png,datasets/vpet_lora/train/00312_Kaiserleomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kaiserleomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kakkinmon vpet vb.png,datasets/vpet_lora/train/00313_Kakkinmon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kakkinmon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Karatukinumemon vpet vb.png,datasets/vpet_lora/train/00314_Karatukinumemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, karatukinumemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kausgammamon vpet vb.png,datasets/vpet_lora/train/00315_Kausgammamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kausgammamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kazuchimon vpet vbbe.png,datasets/vpet_lora/train/00316_Kazuchimon vpet vbbe.png,"vpet_style, vpet_left_pose, digimon, kazuchimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Keemon vpet vb.png,datasets/vpet_lora/train/00317_Keemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, keemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Ketomon vpet vb.png,datasets/vpet_lora/train/00318_Ketomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, ketomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kingetemon vpet vb.png,datasets/vpet_lora/train/00319_Kingetemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kingetemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kinkakumon vpet vb.png,datasets/vpet_lora/train/00320_Kinkakumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kinkakumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kodokugumon vpet vb.png,datasets/vpet_lora/train/00321_Kodokugumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kodokugumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Koemon vpet vb.png,datasets/vpet_lora/train/00322_Koemon vpet vb.png,"vpet_style, vpet_left_pose, digimon, koemon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kokabuterimon vpet vb.png,datasets/vpet_lora/train/00323_Kokabuterimon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kokabuterimon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kokuwamon vpet vb.png,datasets/vpet_lora/train/00324_Kokuwamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kokuwamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Komondomon vpet vb.png,datasets/vpet_lora/train/00325_Komondomon vpet vb.png,"vpet_style, vpet_left_pose, digimon, komondomon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kongoumon vpet vb.png,datasets/vpet_lora/train/00326_Kongoumon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kongoumon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Koromon vpet vb.png,datasets/vpet_lora/train/00327_Koromon vpet vb.png,"vpet_style, vpet_left_pose, digimon, koromon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kudamon vpet vb.png,datasets/vpet_lora/train/00328_Kudamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kudamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kumbhiramon vpet vb.png,datasets/vpet_lora/train/00329_Kumbhiramon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kumbhiramon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
training/Kuwagamon vpet vb.png,datasets/vpet_lora/train/00330_Kuwagamon vpet vb.png,"vpet_style, vpet_left_pose, digimon, kuwagamon, full body, partial left-facing, three-quarter view, sprite, pixel art, clean outline, limited color palette"
